x
1	253914
2	4869
3	6282
4	62832
5	6521
6	46429
7	931
8	5328
9	22336
10	34738
11	1157
12	16591
13	175
14	10176
15	62201
16	999
17	11582
18	3198
19	11978
20	2450
21	1835
22	1039
23	19163
24	693
25	780
26	8047
27	843
28	781
29	4591
30	500
31	514
32	3166
33	374
34	635
35	206
36	5449
37	514
38	10676
39	766
40	606
41	1122
42	328
43	364
44	3187
45	1070
46	7770
47	750
48	393
49	248
50	244
51	1151
52	2168
53	494
54	469
55	2058
56	431
57	481
58	296
59	228
60	1004
61	132
62	257
63	544
64	1603
65	280
66	894
67	245
81	924
82	254
83	108
84	266
85	1954
86	792
87	2029
88	595
89	1298
90	1987
91	653
92	13176
93	12977
94	742
95	106
96	1810
97	802
98	146
99	2211
100	849
101	167
102	1698
103	252
104	281
105	337
106	1274
107	500
108	29068
109	6822
110	525
111	19206
112	5024
113	107
114	4131
115	1557
116	178
117	304
118	1712
119	1410
120	22591
121	14963
122	458
123	250
124	12273
125	5473
126	1464
127	849
128	249
129	5740
130	585
131	1657
132	2136
133	9050
134	720
135	1319
136	312
137	16102
138	102471
139	9088
140	731
141	71164
142	42488
143	4276
144	259
145	663
146	3298
147	205215
