"","template","mean","sd","max","min"
"1","ALB1",-0.212556731850981,0.11046091681964,0.552173663531633,-0.708652929918367
"2","CX3",-0.20940307094765,0.0836630381108686,0.401531748622449,-0.643353092510204
"3","NRCAM",-0.114774158236449,0.0852464515571677,0.4531745,-0.5558753
"4","W601",0.132643850412589,0.123383474809555,0.869545810102041,-0.429789251261224
