"","X","x","spectrum.density","library","TF","pos"
"1",1,0.025,0.253870699812378,"NCAP-SELEX","CDX1","Region 76-115"
"2",2,0.05,0.357467897187562,"NCAP-SELEX","CDX1","Region 76-115"
"3",3,0.075,0.394130542012317,"NCAP-SELEX","CDX1","Region 76-115"
"4",4,0.1,0.430108758693339,"NCAP-SELEX","CDX1","Region 76-115"
"5",5,0.125,0.388524631463532,"NCAP-SELEX","CDX1","Region 76-115"
"6",6,0.15,0.395561458222317,"NCAP-SELEX","CDX1","Region 76-115"
"7",7,0.175,0.384778707097378,"NCAP-SELEX","CDX1","Region 76-115"
"8",8,0.2,0.397121458933342,"NCAP-SELEX","CDX1","Region 76-115"
"9",9,0.225,0.393753962903036,"NCAP-SELEX","CDX1","Region 76-115"
"10",10,0.25,0.397338997959163,"NCAP-SELEX","CDX1","Region 76-115"
"11",11,0.275,0.395982244353838,"NCAP-SELEX","CDX1","Region 76-115"
"12",12,0.3,0.394951728128927,"NCAP-SELEX","CDX1","Region 76-115"
"13",13,0.325,0.388559680768279,"NCAP-SELEX","CDX1","Region 76-115"
"14",14,0.35,0.388622346143854,"NCAP-SELEX","CDX1","Region 76-115"
"15",15,0.375,0.3879411426328,"NCAP-SELEX","CDX1","Region 76-115"
"16",16,0.4,0.381437818843983,"NCAP-SELEX","CDX1","Region 76-115"
"17",17,0.425,0.379964419144817,"NCAP-SELEX","CDX1","Region 76-115"
"18",18,0.45,0.373237587996197,"NCAP-SELEX","CDX1","Region 76-115"
"19",19,0.475,0.377680206818005,"NCAP-SELEX","CDX1","Region 76-115"
"20",20,0.5,0.367085333072529,"NCAP-SELEX","CDX1","Region 76-115"
"21",21,0.025,0.230449006487546,"Nucleosome-SELEX","CDX1","Region 76-115"
"22",22,0.05,0.322401614615091,"Nucleosome-SELEX","CDX1","Region 76-115"
"23",23,0.075,0.342166410015481,"Nucleosome-SELEX","CDX1","Region 76-115"
"24",24,0.1,0.39507365813593,"Nucleosome-SELEX","CDX1","Region 76-115"
"25",25,0.125,0.354813087383934,"Nucleosome-SELEX","CDX1","Region 76-115"
"26",26,0.15,0.360695209019978,"Nucleosome-SELEX","CDX1","Region 76-115"
"27",27,0.175,0.362918147875222,"Nucleosome-SELEX","CDX1","Region 76-115"
"28",28,0.2,0.348497923677558,"Nucleosome-SELEX","CDX1","Region 76-115"
"29",29,0.225,0.363025447613311,"Nucleosome-SELEX","CDX1","Region 76-115"
"30",30,0.25,0.362051233483213,"Nucleosome-SELEX","CDX1","Region 76-115"
"31",31,0.275,0.355663513929465,"Nucleosome-SELEX","CDX1","Region 76-115"
"32",32,0.3,0.3518012168383,"Nucleosome-SELEX","CDX1","Region 76-115"
"33",33,0.325,0.356008382726817,"Nucleosome-SELEX","CDX1","Region 76-115"
"34",34,0.35,0.373005482322401,"Nucleosome-SELEX","CDX1","Region 76-115"
"35",35,0.375,0.352173855064574,"Nucleosome-SELEX","CDX1","Region 76-115"
"36",36,0.4,0.354546340375828,"Nucleosome-SELEX","CDX1","Region 76-115"
"37",37,0.425,0.358134901654641,"Nucleosome-SELEX","CDX1","Region 76-115"
"38",38,0.45,0.35903336077369,"Nucleosome-SELEX","CDX1","Region 76-115"
"39",39,0.475,0.363412244265092,"Nucleosome-SELEX","CDX1","Region 76-115"
"40",40,0.5,0.367375152711445,"Nucleosome-SELEX","CDX1","Region 76-115"
"41",41,0.025,0.249415282552558,"HT-SELEX","CDX1","Region 76-115"
"42",42,0.05,0.355056265666601,"HT-SELEX","CDX1","Region 76-115"
"43",43,0.075,0.32915310798554,"HT-SELEX","CDX1","Region 76-115"
"44",44,0.1,0.385174077152254,"HT-SELEX","CDX1","Region 76-115"
"45",45,0.125,0.361158067621601,"HT-SELEX","CDX1","Region 76-115"
"46",46,0.15,0.336128256832894,"HT-SELEX","CDX1","Region 76-115"
"47",47,0.175,0.341341476813462,"HT-SELEX","CDX1","Region 76-115"
"48",48,0.2,0.373801095291608,"HT-SELEX","CDX1","Region 76-115"
"49",49,0.225,0.387147420458596,"HT-SELEX","CDX1","Region 76-115"
"50",50,0.25,0.330186698908133,"HT-SELEX","CDX1","Region 76-115"
"51",51,0.275,0.377879763264015,"HT-SELEX","CDX1","Region 76-115"
"52",52,0.3,0.346387295781902,"HT-SELEX","CDX1","Region 76-115"
"53",53,0.325,0.400674735897271,"HT-SELEX","CDX1","Region 76-115"
"54",54,0.35,0.34650173770019,"HT-SELEX","CDX1","Region 76-115"
"55",55,0.375,0.340855570549989,"HT-SELEX","CDX1","Region 76-115"
"56",56,0.4,0.372373424503905,"HT-SELEX","CDX1","Region 76-115"
"57",57,0.425,0.347732792609157,"HT-SELEX","CDX1","Region 76-115"
"58",58,0.45,0.330552710208971,"HT-SELEX","CDX1","Region 76-115"
"59",59,0.475,0.362305680016624,"HT-SELEX","CDX1","Region 76-115"
"60",60,0.5,0.304269646128395,"HT-SELEX","CDX1","Region 76-115"
"61",1,0.025,0.255926027344817,"NCAP-SELEX","YBX1","Region 76-115"
"62",2,0.05,0.355272438686102,"NCAP-SELEX","YBX1","Region 76-115"
"63",3,0.075,0.365368544662067,"NCAP-SELEX","YBX1","Region 76-115"
"64",4,0.1,0.374309643039437,"NCAP-SELEX","YBX1","Region 76-115"
"65",5,0.125,0.379190432071346,"NCAP-SELEX","YBX1","Region 76-115"
"66",6,0.15,0.377333441317375,"NCAP-SELEX","YBX1","Region 76-115"
"67",7,0.175,0.386087637072652,"NCAP-SELEX","YBX1","Region 76-115"
"68",8,0.2,0.380864217228673,"NCAP-SELEX","YBX1","Region 76-115"
"69",9,0.225,0.383967487348747,"NCAP-SELEX","YBX1","Region 76-115"
"70",10,0.25,0.381588375068799,"NCAP-SELEX","YBX1","Region 76-115"
"71",11,0.275,0.387090359031896,"NCAP-SELEX","YBX1","Region 76-115"
"72",12,0.3,0.394416608374061,"NCAP-SELEX","YBX1","Region 76-115"
"73",13,0.325,0.39529649907152,"NCAP-SELEX","YBX1","Region 76-115"
"74",14,0.35,0.396077203564948,"NCAP-SELEX","YBX1","Region 76-115"
"75",15,0.375,0.395275471200727,"NCAP-SELEX","YBX1","Region 76-115"
"76",16,0.4,0.391623001916043,"NCAP-SELEX","YBX1","Region 76-115"
"77",17,0.425,0.388289021737755,"NCAP-SELEX","YBX1","Region 76-115"
"78",18,0.45,0.385750053255187,"NCAP-SELEX","YBX1","Region 76-115"
"79",19,0.475,0.397005658264347,"NCAP-SELEX","YBX1","Region 76-115"
"80",20,0.5,0.399351228030813,"NCAP-SELEX","YBX1","Region 76-115"
"81",21,0.025,0.244694390362169,"Nucleosome-SELEX","YBX1","Region 76-115"
"82",22,0.05,0.335857321109408,"Nucleosome-SELEX","YBX1","Region 76-115"
"83",23,0.075,0.349735905799641,"Nucleosome-SELEX","YBX1","Region 76-115"
"84",24,0.1,0.430088264339577,"Nucleosome-SELEX","YBX1","Region 76-115"
"85",25,0.125,0.360350520118926,"Nucleosome-SELEX","YBX1","Region 76-115"
"86",26,0.15,0.358620095602527,"Nucleosome-SELEX","YBX1","Region 76-115"
"87",27,0.175,0.366898602700676,"Nucleosome-SELEX","YBX1","Region 76-115"
"88",28,0.2,0.371626932998138,"Nucleosome-SELEX","YBX1","Region 76-115"
"89",29,0.225,0.380236411593613,"Nucleosome-SELEX","YBX1","Region 76-115"
"90",30,0.25,0.368881310396121,"Nucleosome-SELEX","YBX1","Region 76-115"
"91",31,0.275,0.366385857787069,"Nucleosome-SELEX","YBX1","Region 76-115"
"92",32,0.3,0.367475605637046,"Nucleosome-SELEX","YBX1","Region 76-115"
"93",33,0.325,0.367489994528817,"Nucleosome-SELEX","YBX1","Region 76-115"
"94",34,0.35,0.388371989880542,"Nucleosome-SELEX","YBX1","Region 76-115"
"95",35,0.375,0.376390272350031,"Nucleosome-SELEX","YBX1","Region 76-115"
"96",36,0.4,0.373296618789891,"Nucleosome-SELEX","YBX1","Region 76-115"
"97",37,0.425,0.376702613657113,"Nucleosome-SELEX","YBX1","Region 76-115"
"98",38,0.45,0.37341727344809,"Nucleosome-SELEX","YBX1","Region 76-115"
"99",39,0.475,0.382395675709256,"Nucleosome-SELEX","YBX1","Region 76-115"
"100",40,0.5,0.3740794696073,"Nucleosome-SELEX","YBX1","Region 76-115"
"101",41,0.025,0.268347239184222,"HT-SELEX","YBX1","Region 76-115"
"102",42,0.05,0.364218648109504,"HT-SELEX","YBX1","Region 76-115"
"103",43,0.075,0.383461527832794,"HT-SELEX","YBX1","Region 76-115"
"104",44,0.1,0.390540685238065,"HT-SELEX","YBX1","Region 76-115"
"105",45,0.125,0.396679256509663,"HT-SELEX","YBX1","Region 76-115"
"106",46,0.15,0.39684183448575,"HT-SELEX","YBX1","Region 76-115"
"107",47,0.175,0.391935007549418,"HT-SELEX","YBX1","Region 76-115"
"108",48,0.2,0.398095699679735,"HT-SELEX","YBX1","Region 76-115"
"109",49,0.225,0.393929646101957,"HT-SELEX","YBX1","Region 76-115"
"110",50,0.25,0.399118360819799,"HT-SELEX","YBX1","Region 76-115"
"111",51,0.275,0.404317259650515,"HT-SELEX","YBX1","Region 76-115"
"112",52,0.3,0.404318504299127,"HT-SELEX","YBX1","Region 76-115"
"113",53,0.325,0.40502981947592,"HT-SELEX","YBX1","Region 76-115"
"114",54,0.35,0.405174396432258,"HT-SELEX","YBX1","Region 76-115"
"115",55,0.375,0.40281226768814,"HT-SELEX","YBX1","Region 76-115"
"116",56,0.4,0.405789597159222,"HT-SELEX","YBX1","Region 76-115"
"117",57,0.425,0.405151717882796,"HT-SELEX","YBX1","Region 76-115"
"118",58,0.45,0.403650720991411,"HT-SELEX","YBX1","Region 76-115"
"119",59,0.475,0.398280299302104,"HT-SELEX","YBX1","Region 76-115"
"120",60,0.5,0.395482199814156,"HT-SELEX","YBX1","Region 76-115"
"121",1,0.025,0.257053018208827,"NCAP-SELEX","MIXL1","Region 76-115"
"122",2,0.05,0.345982072878684,"NCAP-SELEX","MIXL1","Region 76-115"
"123",3,0.075,0.381646403202215,"NCAP-SELEX","MIXL1","Region 76-115"
"124",4,0.1,0.388021892439342,"NCAP-SELEX","MIXL1","Region 76-115"
"125",5,0.125,0.37241158681744,"NCAP-SELEX","MIXL1","Region 76-115"
"126",6,0.15,0.377118439543519,"NCAP-SELEX","MIXL1","Region 76-115"
"127",7,0.175,0.38193954117577,"NCAP-SELEX","MIXL1","Region 76-115"
"128",8,0.2,0.392169778671082,"NCAP-SELEX","MIXL1","Region 76-115"
"129",9,0.225,0.380200729521866,"NCAP-SELEX","MIXL1","Region 76-115"
"130",10,0.25,0.375355120695799,"NCAP-SELEX","MIXL1","Region 76-115"
"131",11,0.275,0.373381592453883,"NCAP-SELEX","MIXL1","Region 76-115"
"132",12,0.3,0.38161884704744,"NCAP-SELEX","MIXL1","Region 76-115"
"133",13,0.325,0.384830480118987,"NCAP-SELEX","MIXL1","Region 76-115"
"134",14,0.35,0.374627425591766,"NCAP-SELEX","MIXL1","Region 76-115"
"135",15,0.375,0.39143176978468,"NCAP-SELEX","MIXL1","Region 76-115"
"136",16,0.4,0.372789975395353,"NCAP-SELEX","MIXL1","Region 76-115"
"137",17,0.425,0.367295540814791,"NCAP-SELEX","MIXL1","Region 76-115"
"138",18,0.45,0.377404836210033,"NCAP-SELEX","MIXL1","Region 76-115"
"139",19,0.475,0.364377444837971,"NCAP-SELEX","MIXL1","Region 76-115"
"140",20,0.5,0.379013552994112,"NCAP-SELEX","MIXL1","Region 76-115"
"141",21,0.025,0.235200263708608,"Nucleosome-SELEX","MIXL1","Region 76-115"
"142",22,0.05,0.319363826374482,"Nucleosome-SELEX","MIXL1","Region 76-115"
"143",23,0.075,0.341872690615222,"Nucleosome-SELEX","MIXL1","Region 76-115"
"144",24,0.1,0.379864077585091,"Nucleosome-SELEX","MIXL1","Region 76-115"
"145",25,0.125,0.349390976755665,"Nucleosome-SELEX","MIXL1","Region 76-115"
"146",26,0.15,0.345850600535007,"Nucleosome-SELEX","MIXL1","Region 76-115"
"147",27,0.175,0.358072658002799,"Nucleosome-SELEX","MIXL1","Region 76-115"
"148",28,0.2,0.360841524541988,"Nucleosome-SELEX","MIXL1","Region 76-115"
"149",29,0.225,0.356297127265367,"Nucleosome-SELEX","MIXL1","Region 76-115"
"150",30,0.25,0.339194569277171,"Nucleosome-SELEX","MIXL1","Region 76-115"
"151",31,0.275,0.355707821911231,"Nucleosome-SELEX","MIXL1","Region 76-115"
"152",32,0.3,0.354985576384707,"Nucleosome-SELEX","MIXL1","Region 76-115"
"153",33,0.325,0.361757763582404,"Nucleosome-SELEX","MIXL1","Region 76-115"
"154",34,0.35,0.364297494147231,"Nucleosome-SELEX","MIXL1","Region 76-115"
"155",35,0.375,0.369107336820399,"Nucleosome-SELEX","MIXL1","Region 76-115"
"156",36,0.4,0.345301026496509,"Nucleosome-SELEX","MIXL1","Region 76-115"
"157",37,0.425,0.364020129614955,"Nucleosome-SELEX","MIXL1","Region 76-115"
"158",38,0.45,0.346110407367482,"Nucleosome-SELEX","MIXL1","Region 76-115"
"159",39,0.475,0.353107419648104,"Nucleosome-SELEX","MIXL1","Region 76-115"
"160",40,0.5,0.363117609868597,"Nucleosome-SELEX","MIXL1","Region 76-115"
"161",41,0.025,0.240094603408563,"HT-SELEX","MIXL1","Region 76-115"
"162",42,0.05,0.328545624104495,"HT-SELEX","MIXL1","Region 76-115"
"163",43,0.075,0.347887324644479,"HT-SELEX","MIXL1","Region 76-115"
"164",44,0.1,0.349762244304075,"HT-SELEX","MIXL1","Region 76-115"
"165",45,0.125,0.361060841964452,"HT-SELEX","MIXL1","Region 76-115"
"166",46,0.15,0.369156383479317,"HT-SELEX","MIXL1","Region 76-115"
"167",47,0.175,0.365886495102572,"HT-SELEX","MIXL1","Region 76-115"
"168",48,0.2,0.370204541915676,"HT-SELEX","MIXL1","Region 76-115"
"169",49,0.225,0.377871693324765,"HT-SELEX","MIXL1","Region 76-115"
"170",50,0.25,0.360135779349385,"HT-SELEX","MIXL1","Region 76-115"
"171",51,0.275,0.354410689041379,"HT-SELEX","MIXL1","Region 76-115"
"172",52,0.3,0.353124048198864,"HT-SELEX","MIXL1","Region 76-115"
"173",53,0.325,0.363699338558651,"HT-SELEX","MIXL1","Region 76-115"
"174",54,0.35,0.361730966915356,"HT-SELEX","MIXL1","Region 76-115"
"175",55,0.375,0.358561628742554,"HT-SELEX","MIXL1","Region 76-115"
"176",56,0.4,0.361453903855887,"HT-SELEX","MIXL1","Region 76-115"
"177",57,0.425,0.352355978121781,"HT-SELEX","MIXL1","Region 76-115"
"178",58,0.45,0.365950646231407,"HT-SELEX","MIXL1","Region 76-115"
"179",59,0.475,0.351987318419713,"HT-SELEX","MIXL1","Region 76-115"
"180",60,0.5,0.34796921896648,"HT-SELEX","MIXL1","Region 76-115"
"181",1,0.025,0.263826114736502,"NCAP-SELEX","FOXD3","Region 76-115"
"182",2,0.05,0.363225043390777,"NCAP-SELEX","FOXD3","Region 76-115"
"183",3,0.075,0.385682097385623,"NCAP-SELEX","FOXD3","Region 76-115"
"184",4,0.1,0.411997835431246,"NCAP-SELEX","FOXD3","Region 76-115"
"185",5,0.125,0.391685662110735,"NCAP-SELEX","FOXD3","Region 76-115"
"186",6,0.15,0.388682239004007,"NCAP-SELEX","FOXD3","Region 76-115"
"187",7,0.175,0.378552724835626,"NCAP-SELEX","FOXD3","Region 76-115"
"188",8,0.2,0.384308875161944,"NCAP-SELEX","FOXD3","Region 76-115"
"189",9,0.225,0.391273887891262,"NCAP-SELEX","FOXD3","Region 76-115"
"190",10,0.25,0.379462266093654,"NCAP-SELEX","FOXD3","Region 76-115"
"191",11,0.275,0.379582903044217,"NCAP-SELEX","FOXD3","Region 76-115"
"192",12,0.3,0.378224934458801,"NCAP-SELEX","FOXD3","Region 76-115"
"193",13,0.325,0.380561418897462,"NCAP-SELEX","FOXD3","Region 76-115"
"194",14,0.35,0.390357623027754,"NCAP-SELEX","FOXD3","Region 76-115"
"195",15,0.375,0.394148640353831,"NCAP-SELEX","FOXD3","Region 76-115"
"196",16,0.4,0.38021890670435,"NCAP-SELEX","FOXD3","Region 76-115"
"197",17,0.425,0.389334387303631,"NCAP-SELEX","FOXD3","Region 76-115"
"198",18,0.45,0.384091045428056,"NCAP-SELEX","FOXD3","Region 76-115"
"199",19,0.475,0.376187322056173,"NCAP-SELEX","FOXD3","Region 76-115"
"200",20,0.5,0.38172664188064,"NCAP-SELEX","FOXD3","Region 76-115"
"201",21,0.025,0.229695236657479,"Nucleosome-SELEX","FOXD3","Region 76-115"
"202",22,0.05,0.314689609683968,"Nucleosome-SELEX","FOXD3","Region 76-115"
"203",23,0.075,0.337801583992536,"Nucleosome-SELEX","FOXD3","Region 76-115"
"204",24,0.1,0.411289715481476,"Nucleosome-SELEX","FOXD3","Region 76-115"
"205",25,0.125,0.352390795553737,"Nucleosome-SELEX","FOXD3","Region 76-115"
"206",26,0.15,0.34885663316239,"Nucleosome-SELEX","FOXD3","Region 76-115"
"207",27,0.175,0.353229664384761,"Nucleosome-SELEX","FOXD3","Region 76-115"
"208",28,0.2,0.353334888349119,"Nucleosome-SELEX","FOXD3","Region 76-115"
"209",29,0.225,0.35805624386412,"Nucleosome-SELEX","FOXD3","Region 76-115"
"210",30,0.25,0.348713304048887,"Nucleosome-SELEX","FOXD3","Region 76-115"
"211",31,0.275,0.34979678638026,"Nucleosome-SELEX","FOXD3","Region 76-115"
"212",32,0.3,0.360564133312387,"Nucleosome-SELEX","FOXD3","Region 76-115"
"213",33,0.325,0.351364218082642,"Nucleosome-SELEX","FOXD3","Region 76-115"
"214",34,0.35,0.363248556546445,"Nucleosome-SELEX","FOXD3","Region 76-115"
"215",35,0.375,0.363759515673186,"Nucleosome-SELEX","FOXD3","Region 76-115"
"216",36,0.4,0.362604678289366,"Nucleosome-SELEX","FOXD3","Region 76-115"
"217",37,0.425,0.366025454944749,"Nucleosome-SELEX","FOXD3","Region 76-115"
"218",38,0.45,0.355308880966258,"Nucleosome-SELEX","FOXD3","Region 76-115"
"219",39,0.475,0.36397239267156,"Nucleosome-SELEX","FOXD3","Region 76-115"
"220",40,0.5,0.36447744482811,"Nucleosome-SELEX","FOXD3","Region 76-115"
"221",41,0.025,0.256996194495304,"HT-SELEX","FOXD3","Region 76-115"
"222",42,0.05,0.356534898105945,"HT-SELEX","FOXD3","Region 76-115"
"223",43,0.075,0.370049018954286,"HT-SELEX","FOXD3","Region 76-115"
"224",44,0.1,0.371699840783294,"HT-SELEX","FOXD3","Region 76-115"
"225",45,0.125,0.38177119582919,"HT-SELEX","FOXD3","Region 76-115"
"226",46,0.15,0.365096356239124,"HT-SELEX","FOXD3","Region 76-115"
"227",47,0.175,0.383686417481986,"HT-SELEX","FOXD3","Region 76-115"
"228",48,0.2,0.383679248823077,"HT-SELEX","FOXD3","Region 76-115"
"229",49,0.225,0.377682057704405,"HT-SELEX","FOXD3","Region 76-115"
"230",50,0.25,0.378327023250022,"HT-SELEX","FOXD3","Region 76-115"
"231",51,0.275,0.374703467508807,"HT-SELEX","FOXD3","Region 76-115"
"232",52,0.3,0.382349262267164,"HT-SELEX","FOXD3","Region 76-115"
"233",53,0.325,0.365830888632302,"HT-SELEX","FOXD3","Region 76-115"
"234",54,0.35,0.376923242033769,"HT-SELEX","FOXD3","Region 76-115"
"235",55,0.375,0.37393763149812,"HT-SELEX","FOXD3","Region 76-115"
"236",56,0.4,0.372788677165476,"HT-SELEX","FOXD3","Region 76-115"
"237",57,0.425,0.378549017250081,"HT-SELEX","FOXD3","Region 76-115"
"238",58,0.45,0.386945645628617,"HT-SELEX","FOXD3","Region 76-115"
"239",59,0.475,0.375186809662221,"HT-SELEX","FOXD3","Region 76-115"
"240",60,0.5,0.368359768348231,"HT-SELEX","FOXD3","Region 76-115"
"241",1,0.025,0.25679862726488,"NCAP-SELEX","HOXA10","Region 76-115"
"242",2,0.05,0.351603488837024,"NCAP-SELEX","HOXA10","Region 76-115"
"243",3,0.075,0.379964298369632,"NCAP-SELEX","HOXA10","Region 76-115"
"244",4,0.1,0.40951568308593,"NCAP-SELEX","HOXA10","Region 76-115"
"245",5,0.125,0.384335788203571,"NCAP-SELEX","HOXA10","Region 76-115"
"246",6,0.15,0.387219672706472,"NCAP-SELEX","HOXA10","Region 76-115"
"247",7,0.175,0.393021825929811,"NCAP-SELEX","HOXA10","Region 76-115"
"248",8,0.2,0.380076685193415,"NCAP-SELEX","HOXA10","Region 76-115"
"249",9,0.225,0.397207356971069,"NCAP-SELEX","HOXA10","Region 76-115"
"250",10,0.25,0.394852291546327,"NCAP-SELEX","HOXA10","Region 76-115"
"251",11,0.275,0.397660727497701,"NCAP-SELEX","HOXA10","Region 76-115"
"252",12,0.3,0.394882723620968,"NCAP-SELEX","HOXA10","Region 76-115"
"253",13,0.325,0.381922249135611,"NCAP-SELEX","HOXA10","Region 76-115"
"254",14,0.35,0.381194433828808,"NCAP-SELEX","HOXA10","Region 76-115"
"255",15,0.375,0.369814248179758,"NCAP-SELEX","HOXA10","Region 76-115"
"256",16,0.4,0.383494712350585,"NCAP-SELEX","HOXA10","Region 76-115"
"257",17,0.425,0.370420615069317,"NCAP-SELEX","HOXA10","Region 76-115"
"258",18,0.45,0.368648350668864,"NCAP-SELEX","HOXA10","Region 76-115"
"259",19,0.475,0.372891754003183,"NCAP-SELEX","HOXA10","Region 76-115"
"260",20,0.5,0.370745739655545,"NCAP-SELEX","HOXA10","Region 76-115"
"261",21,0.025,0.232259879821699,"Nucleosome-SELEX","HOXA10","Region 76-115"
"262",22,0.05,0.321336437849319,"Nucleosome-SELEX","HOXA10","Region 76-115"
"263",23,0.075,0.341281429036457,"Nucleosome-SELEX","HOXA10","Region 76-115"
"264",24,0.1,0.389543852070444,"Nucleosome-SELEX","HOXA10","Region 76-115"
"265",25,0.125,0.353526694871013,"Nucleosome-SELEX","HOXA10","Region 76-115"
"266",26,0.15,0.356418463479021,"Nucleosome-SELEX","HOXA10","Region 76-115"
"267",27,0.175,0.363166887841949,"Nucleosome-SELEX","HOXA10","Region 76-115"
"268",28,0.2,0.35285153524294,"Nucleosome-SELEX","HOXA10","Region 76-115"
"269",29,0.225,0.363153052004862,"Nucleosome-SELEX","HOXA10","Region 76-115"
"270",30,0.25,0.352892152498822,"Nucleosome-SELEX","HOXA10","Region 76-115"
"271",31,0.275,0.361585789645343,"Nucleosome-SELEX","HOXA10","Region 76-115"
"272",32,0.3,0.361156415828344,"Nucleosome-SELEX","HOXA10","Region 76-115"
"273",33,0.325,0.35563753822337,"Nucleosome-SELEX","HOXA10","Region 76-115"
"274",34,0.35,0.376705565825265,"Nucleosome-SELEX","HOXA10","Region 76-115"
"275",35,0.375,0.352892209547554,"Nucleosome-SELEX","HOXA10","Region 76-115"
"276",36,0.4,0.364608269009021,"Nucleosome-SELEX","HOXA10","Region 76-115"
"277",37,0.425,0.359588645171655,"Nucleosome-SELEX","HOXA10","Region 76-115"
"278",38,0.45,0.356105527870714,"Nucleosome-SELEX","HOXA10","Region 76-115"
"279",39,0.475,0.365803382924454,"Nucleosome-SELEX","HOXA10","Region 76-115"
"280",40,0.5,0.365976586576312,"Nucleosome-SELEX","HOXA10","Region 76-115"
"281",41,0.025,0.249594225619598,"HT-SELEX","HOXA10","Region 76-115"
"282",42,0.05,0.343041181696025,"HT-SELEX","HOXA10","Region 76-115"
"283",43,0.075,0.358161440645203,"HT-SELEX","HOXA10","Region 76-115"
"284",44,0.1,0.35918903969938,"HT-SELEX","HOXA10","Region 76-115"
"285",45,0.125,0.363361748187272,"HT-SELEX","HOXA10","Region 76-115"
"286",46,0.15,0.358388954634998,"HT-SELEX","HOXA10","Region 76-115"
"287",47,0.175,0.362690742980089,"HT-SELEX","HOXA10","Region 76-115"
"288",48,0.2,0.364935385066358,"HT-SELEX","HOXA10","Region 76-115"
"289",49,0.225,0.361443415937102,"HT-SELEX","HOXA10","Region 76-115"
"290",50,0.25,0.359092059844865,"HT-SELEX","HOXA10","Region 76-115"
"291",51,0.275,0.363328039042554,"HT-SELEX","HOXA10","Region 76-115"
"292",52,0.3,0.361588281763006,"HT-SELEX","HOXA10","Region 76-115"
"293",53,0.325,0.366770850524414,"HT-SELEX","HOXA10","Region 76-115"
"294",54,0.35,0.356784239894962,"HT-SELEX","HOXA10","Region 76-115"
"295",55,0.375,0.351486136665677,"HT-SELEX","HOXA10","Region 76-115"
"296",56,0.4,0.351379078349042,"HT-SELEX","HOXA10","Region 76-115"
"297",57,0.425,0.348876286066576,"HT-SELEX","HOXA10","Region 76-115"
"298",58,0.45,0.349093944773894,"HT-SELEX","HOXA10","Region 76-115"
"299",59,0.475,0.353163833285048,"HT-SELEX","HOXA10","Region 76-115"
"300",60,0.5,0.355877102004996,"HT-SELEX","HOXA10","Region 76-115"
"301",1,0.025,0.24732692459918,"NCAP-SELEX","SHOX","Region 76-115"
"302",2,0.05,0.35161898629507,"NCAP-SELEX","SHOX","Region 76-115"
"303",3,0.075,0.370080368490483,"NCAP-SELEX","SHOX","Region 76-115"
"304",4,0.1,0.428233362331267,"NCAP-SELEX","SHOX","Region 76-115"
"305",5,0.125,0.37662861186142,"NCAP-SELEX","SHOX","Region 76-115"
"306",6,0.15,0.391535879708039,"NCAP-SELEX","SHOX","Region 76-115"
"307",7,0.175,0.396268853702953,"NCAP-SELEX","SHOX","Region 76-115"
"308",8,0.2,0.398271823643171,"NCAP-SELEX","SHOX","Region 76-115"
"309",9,0.225,0.409242132911525,"NCAP-SELEX","SHOX","Region 76-115"
"310",10,0.25,0.398367025584397,"NCAP-SELEX","SHOX","Region 76-115"
"311",11,0.275,0.39628634362268,"NCAP-SELEX","SHOX","Region 76-115"
"312",12,0.3,0.396645248609813,"NCAP-SELEX","SHOX","Region 76-115"
"313",13,0.325,0.392473944421897,"NCAP-SELEX","SHOX","Region 76-115"
"314",14,0.35,0.394182531477119,"NCAP-SELEX","SHOX","Region 76-115"
"315",15,0.375,0.382342523839258,"NCAP-SELEX","SHOX","Region 76-115"
"316",16,0.4,0.379920567845384,"NCAP-SELEX","SHOX","Region 76-115"
"317",17,0.425,0.368443103784045,"NCAP-SELEX","SHOX","Region 76-115"
"318",18,0.45,0.365980328307049,"NCAP-SELEX","SHOX","Region 76-115"
"319",19,0.475,0.369833035105047,"NCAP-SELEX","SHOX","Region 76-115"
"320",20,0.5,0.357596991711978,"NCAP-SELEX","SHOX","Region 76-115"
"321",21,0.025,0.235860862897185,"Nucleosome-SELEX","SHOX","Region 76-115"
"322",22,0.05,0.32134271399315,"Nucleosome-SELEX","SHOX","Region 76-115"
"323",23,0.075,0.340673725003813,"Nucleosome-SELEX","SHOX","Region 76-115"
"324",24,0.1,0.393769437771634,"Nucleosome-SELEX","SHOX","Region 76-115"
"325",25,0.125,0.35522374633727,"Nucleosome-SELEX","SHOX","Region 76-115"
"326",26,0.15,0.349511782021509,"Nucleosome-SELEX","SHOX","Region 76-115"
"327",27,0.175,0.360166131177043,"Nucleosome-SELEX","SHOX","Region 76-115"
"328",28,0.2,0.354440329253641,"Nucleosome-SELEX","SHOX","Region 76-115"
"329",29,0.225,0.365817189998095,"Nucleosome-SELEX","SHOX","Region 76-115"
"330",30,0.25,0.349669451083621,"Nucleosome-SELEX","SHOX","Region 76-115"
"331",31,0.275,0.352919972501925,"Nucleosome-SELEX","SHOX","Region 76-115"
"332",32,0.3,0.354438023374095,"Nucleosome-SELEX","SHOX","Region 76-115"
"333",33,0.325,0.357936521511916,"Nucleosome-SELEX","SHOX","Region 76-115"
"334",34,0.35,0.363851450733247,"Nucleosome-SELEX","SHOX","Region 76-115"
"335",35,0.375,0.361820588186243,"Nucleosome-SELEX","SHOX","Region 76-115"
