"x"
"ALX3"
"ARX"
"ATOH1"
"BARHL1"
"BHLHA15"
"BHLHB8"
"BHLHE22"
"CDX1"
"CEBPB"
"CEBPE"
"CLOCK"
"CREB1"
"CREB3L1"
"CREB3L4"
"CREB5"
"CUX1"
"DLX1"
"DLX2"
"DLX4"
"DLX5"
"DMBX1"
"DRGX"
"DUXA"
"E2F8"
"ELF1"
"ELF2"
"ELF4"
"ELF5"
"ELK3"
"EN1"
"EN2"
"ESX1"
"ETV1"
"ETV4"
"ETV5"
"FEV"
"FOXD2"
"FOXE1"
"FOXI1"
"FOXJ2"
"FOXO1"
"FOXO6"
"GATA4"
"GSC2"
"GSX1"
"GSX2"
"HES5"
"HMBOX1"
"HMX1"
"HOXA10"
"HOXA2"
"HOXB7"
"HOXC10"
"HOXC11"
"HOXD10"
"HOXD12"
"HOXD3"
"HOXD4"
"HOXD9"
"HSF1"
"HSF4"
"IRF3"
"IRX1"
"IRX5"
"JUND"
"LBX2"
"LMX1A"
"LMX1B"
"MAF"
"MEIS2"
"MEIS3"
"MIXL1"
"MLLT7"
"MLX"
"MNX1"
"MSX1"
"MSX2"
"MYBL2"
"MYOG"
"NFATC2"
"NFATC3"
"NFATC4"
"NFKB2"
"NKX2-3"
"NKX2-4"
"NKX6-2"
"OLIG2"
"ONECUT2"
"OTX1"
"OTX2"
"PAX2"
"PAX7"
"PDX1"
"PITX1"
"PITX2"
"PITX3"
"PKNOX2"
"POU1F1"
"POU2F2"
"POU2F3"
"POU3F2"
"POU3F4"
"POU4F2"
"POU4F3"
"PROP1"
"PRRX1"
"RAX"
"RFX1"
"RFX4"
"RFX5"
"SHOX"
"SOX11"
"SOX18"
"SOX7"
"SPIB"
"SREBF2"
"SRF"
"TBX3"
"TBX4"
"TCF12"
"TFAP2B"
"TFAP2C"
"TFAP4"
"TFE3"
"TFEB"
"TFEC"
"TGIF2"
"TGIF2LX"
"TGIF2LY"
"TLX2"
"USF2"
"VAX2"
"VENTX"
"VSX1"
"VSX2"
"XBP1"
"YBX1"
