TF	AAT/ATT	AAA/TTT	CCA/TGG	AAC/GTT	ACT/AGT	CCG/CGG	ATC/GAT	AAG/CTT	CGC/GCG	AGG/CCT	GAA/TTC	ACC/GGT	ACG/CGT	GAC/GTC	CCC/GGG	ACA/TGT	CGA/TCG	CAA/TTG	GGA/TCC	AGC/GCT	GTA/TAC	AGA/TCT	CTC/GAG	CAC/GTG	TAA/TTA	GCA/TGC	CTA/TAG	GCC/GGC	ATG/CAT	CAG/CTG	ATA/TAT	TCA/TGA
TGIF2LY	0.0269814816886075	0.02968820487583	0.0334127454599006	0.034561052266601	0.0280514948493966	0.0295278893151543	0.0243008563833555	0.028275190980572	0.0377934613620857	0.0328124941745799	0.025691500665496	0.0335730610205763	0.038266951506407	0.0281148754198963	0.0360560880766234	0.0343373561354256	0.0261724473475231	0.0309893707055003	0.027786787760839	0.034173312305897	0.0331219404893726	0.0273580368427528	0.0295502589282718	0.0381401903654076	0.0328311355188445	0.0356795329224781	0.0331741362533135	0.0336662677418994	0.0295838133479481	0.0315262414203213	0.0283646694330422	0.0264371544360807
MEIS3	0.0264979242222464	0.0297811987860818	0.0333771661655206	0.0349322545431195	0.0280809316012385	0.0296611470800912	0.0247836975367065	0.027899458092183	0.037721362782296	0.0329053350419762	0.0253616208655449	0.0336675237800094	0.0384500487186574	0.0280446368994274	0.0359485061938305	0.0348205785375469	0.0260847230016277	0.0314926335714824	0.0279078337926009	0.0336507723791735	0.0339160028924085	0.0270925989519207	0.0296471875793947	0.0381094369016609	0.0321989843067293	0.0350578900493887	0.0329779244455984	0.0337261536829351	0.0295745981757724	0.0312916167614517	0.0285192599231111	0.0268189927382677
TGIF2LX	0.026910747143256	0.0299079316063361	0.0332246811917424	0.034650950790335	0.0279434470648784	0.0298372908950851	0.0244181391891119	0.0282697398739904	0.037506853830913	0.0326662831885199	0.0256425781841301	0.0337326215440714	0.0383646338961043	0.0280746369572018	0.03595275818339	0.0343952986924741	0.0260899693553867	0.0311189152277827	0.0276911588104104	0.0341295550644344	0.0334029648915665	0.0274859643634431	0.0295177257727589	0.0380551603039569	0.0328815691656659	0.0354986393253476	0.0332919580596006	0.0335610655310331	0.0295109980859731	0.0312803797106422	0.0285220281284585	0.0264633559719994
NFATC3	0.0267926950230469	0.0294027267246242	0.0321450104051189	0.0346111208355213	0.0284575140517728	0.0294844117704261	0.0250267421280899	0.0285508683898322	0.0368983021179765	0.0326234513876733	0.0254196083007566	0.0328879553455083	0.0378901919598576	0.0285236400412315	0.0347355932862672	0.0354863177548282	0.0260769784312581	0.0315109788591322	0.0273683801077465	0.0339498609409339	0.0342843806523134	0.0283135927805979	0.030075655911469	0.0370733415018379	0.032771262422934	0.0347083649376665	0.033704805803528	0.0333975144407492	0.0299395141684657	0.0313359394752708	0.0292899235661357	0.0272633564774296
TBX3	0.026554003451532	0.0290496192615954	0.0338408294840843	0.034592072640329	0.0281448713118148	0.0295845602087665	0.0245351828335124	0.0281309163305842	0.0371690925075706	0.0328849132697916	0.0252654935179112	0.0332012261776841	0.0378156733045861	0.028582127390372	0.0367248589383981	0.0351805076822172	0.0260609274480526	0.031626639128837	0.0285588690883211	0.0343873995822809	0.0335291682366021	0.0271075510403439	0.0300218162873238	0.0372970131688506	0.0321499509249827	0.0345455560362271	0.0327221051554352	0.0339640984849542	0.0299822771738372	0.0317731664317578	0.0283169827469915	0.0267005307544528
E2F8	0.0261660142420072	0.0291876533643291	0.0336677844727384	0.0344404512195665	0.0277981892432319	0.0291520260791727	0.0248834319763791	0.0283036513513875	0.0350372082459351	0.0333760860755209	0.0252731054077765	0.033837014077231	0.0382703843738727	0.0283615456897665	0.0357631141809955	0.0348946991053098	0.0258409152649557	0.0314188120972447	0.0278939375720896	0.0344649449781115	0.0340374175562354	0.0281255149256058	0.0303254997840096	0.0377871893189399	0.032062329935381	0.035126276458826	0.0334851946363122	0.0337501725696625	0.0298267177918209	0.0318886469202439	0.0285597224634486	0.0269943486218921
PAX7	0.0265539582449949	0.0302972274275397	0.0328185768282063	0.0340906500339675	0.0280312045484596	0.0297728961778532	0.0246481281374386	0.0281999024287935	0.0364205045434443	0.0323307207958892	0.0254916175391083	0.032932561882486	0.038654611607326	0.0291938521021124	0.0339766649796879	0.0355952527504594	0.0259885923757677	0.0315054690029043	0.0281223925918834	0.0341453628600218	0.0343733329685812	0.0275159921031154	0.0295586042758074	0.0374919640536733	0.0319203746004824	0.0351301937289983	0.0329599182955131	0.0331194973715047	0.0304704847100448	0.0317379985136349	0.0296817081344294	0.0272697843858713
TBX4	0.0264067889309374	0.0286915253041169	0.0334771217614524	0.0343041257575357	0.0283496969857358	0.0295229399881794	0.0245697373876377	0.0284445267772867	0.0374202768147776	0.0328927056042201	0.0254011520717001	0.0329897407397606	0.037695944813472	0.0286253649844303	0.0364388987394254	0.0350759961538801	0.0259635147890368	0.0315628831785182	0.0279946366034174	0.0344077769250448	0.0336182637767839	0.027341854782509	0.0298030186748529	0.0372923668633834	0.0318804527130142	0.0349370594825381	0.0328750628523037	0.0342908936935983	0.0301095614894011	0.0319554344086591	0.028636391704378	0.027024285248013
OLIG2	0.0271632343897647	0.0308304960177588	0.0321554098983566	0.0347252428592141	0.0288506247093939	0.0293480923739957	0.0248608840425372	0.0292480988735732	0.036437631553949	0.0326353787003845	0.0259083159594626	0.0331353462024968	0.0378625389349692	0.028450650707704	0.0352627079239849	0.0349177303475274	0.0262407943483674	0.0313404628699135	0.0277081989670671	0.0335703179293346	0.0343477673951193	0.0279556828806128	0.0294305870118442	0.0371075880067796	0.0337328073675211	0.0344377615454995	0.0334853234539755	0.0324878882872613	0.0291706039107458	0.0311929724567903	0.029078109922855	0.0269207501512402
MEIS2	0.0264979242222464	0.0297811987860818	0.0333771661655206	0.0349322545431195	0.0280809316012385	0.0296611470800912	0.0247836975367065	0.027899458092183	0.037721362782296	0.0329053350419762	0.0253616208655449	0.0336675237800094	0.0384500487186574	0.0280446368994274	0.0359485061938305	0.0348205785375469	0.0260847230016277	0.0314926335714824	0.0279078337926009	0.0336507723791735	0.0339160028924085	0.0270925989519207	0.0296471875793947	0.0381094369016609	0.0321989843067293	0.0350578900493887	0.0329779244455984	0.0337261536829351	0.0295745981757724	0.0312916167614517	0.0285192599231111	0.0268189927382677
