"tf","n","dist","avg","low","high","group"
"CEBPB",257571,56,-0.147620631302984,-0.148778344608923,-0.146462917997045,"CEBPB-unbound (n=257571)"
"CEBPB",257571,57,-0.147499038295376,-0.148654707123722,-0.14634336946703,"CEBPB-unbound (n=257571)"
"CEBPB",257571,58,-0.147439169646521,-0.148593341396988,-0.146284997896053,"CEBPB-unbound (n=257571)"
"CEBPB",257571,59,-0.14726439882328,-0.148417161148772,-0.146111636497787,"CEBPB-unbound (n=257571)"
"CEBPB",257571,60,-0.147160563658895,-0.148311741171985,-0.146009386145805,"CEBPB-unbound (n=257571)"
"CEBPB",257571,61,-0.147049038821928,-0.148198529088224,-0.145899548555633,"CEBPB-unbound (n=257571)"
"CEBPB",257571,62,-0.147029645762617,-0.148177465396479,-0.145881826128754,"CEBPB-unbound (n=257571)"
"CEBPB",257571,63,-0.147078204202162,-0.14822380510266,-0.145932603301664,"CEBPB-unbound (n=257571)"
"CEBPB",257571,64,-0.147104740346005,-0.148248503227325,-0.145960977464686,"CEBPB-unbound (n=257571)"
"CEBPB",257571,65,-0.147133174910256,-0.148274678106275,-0.145991671714237,"CEBPB-unbound (n=257571)"
"CEBPB",257571,66,-0.147099156360157,-0.148239294483238,-0.145959018237076,"CEBPB-unbound (n=257571)"
"CEBPB",257571,67,-0.147188204170904,-0.148326881202306,-0.146049527139501,"CEBPB-unbound (n=257571)"
"CEBPB",257571,68,-0.147115948450859,-0.148253485768121,-0.145978411133597,"CEBPB-unbound (n=257571)"
"CEBPB",257571,69,-0.147105176744071,-0.148241340159942,-0.1459690133282,"CEBPB-unbound (n=257571)"
"CEBPB",257571,70,-0.146966375792929,-0.14810190210179,-0.145830849484069,"CEBPB-unbound (n=257571)"
"CEBPB",257571,71,-0.14670306075268,-0.14783856577274,-0.145567555732619,"CEBPB-unbound (n=257571)"
"CEBPB",257571,72,-0.146621785014871,-0.147756809581864,-0.145486760447877,"CEBPB-unbound (n=257571)"
"CEBPB",257571,73,-0.146370902141938,-0.147505569363783,-0.145236234920093,"CEBPB-unbound (n=257571)"
"CEBPB",257571,74,-0.146284333292604,-0.147418308997358,-0.145150357587851,"CEBPB-unbound (n=257571)"
"CEBPB",257571,75,-0.146222923819404,-0.147356117906406,-0.145089729732402,"CEBPB-unbound (n=257571)"
"CEBPB",257571,76,-0.146267408805435,-0.147400099243465,-0.145134718367404,"CEBPB-unbound (n=257571)"
"CEBPB",257571,77,-0.146211303567963,-0.147343598309744,-0.145079008826182,"CEBPB-unbound (n=257571)"
"CEBPB",257571,78,-0.146206460959653,-0.147338287765261,-0.145074634154046,"CEBPB-unbound (n=257571)"
"CEBPB",257571,79,-0.14620100049487,-0.147332462608921,-0.145069538380819,"CEBPB-unbound (n=257571)"
"CEBPB",257571,80,-0.146109664943228,-0.147241197568458,-0.144978132317997,"CEBPB-unbound (n=257571)"
"CEBPB",257571,81,-0.146191328169514,-0.147322726492772,-0.145059929846256,"CEBPB-unbound (n=257571)"
"CEBPB",257571,82,-0.146208130159704,-0.147339984836615,-0.145076275482792,"CEBPB-unbound (n=257571)"
"CEBPB",257571,83,-0.146284881701316,-0.147416662310585,-0.145153101092048,"CEBPB-unbound (n=257571)"
"CEBPB",257571,84,-0.146250743674679,-0.147382819952176,-0.145118667397182,"CEBPB-unbound (n=257571)"
"CEBPB",257571,85,-0.146348479896811,-0.147481226935295,-0.145215732858328,"CEBPB-unbound (n=257571)"
"CEBPB",257571,86,-0.146532815477289,-0.1476658423117,-0.145399788642879,"CEBPB-unbound (n=257571)"
"CEBPB",257571,87,-0.146608028564143,-0.147741453148527,-0.145474603979758,"CEBPB-unbound (n=257571)"
"CEBPB",257571,88,-0.146789565472751,-0.147923213517496,-0.145655917428006,"CEBPB-unbound (n=257571)"
"CEBPB",257571,89,-0.146985692981282,-0.148118858793811,-0.145852527168754,"CEBPB-unbound (n=257571)"
"CEBPB",257571,90,-0.147132705029824,-0.148266644163602,-0.145998765896046,"CEBPB-unbound (n=257571)"
"CEBPB",257571,91,-0.147309269230821,-0.148443646534142,-0.1461748919275,"CEBPB-unbound (n=257571)"
