TF	AAT/ATT	AAA/TTT	CCA/TGG	AAC/GTT	ACT/AGT	CCG/CGG	ATC/GAT	AAG/CTT	CGC/GCG	AGG/CCT	GAA/TTC	ACC/GGT	ACG/CGT	GAC/GTC	CCC/GGG	ACA/TGT	CGA/TCG	CAA/TTG	GGA/TCC	AGC/GCT	GTA/TAC	AGA/TCT	CTC/GAG	CAC/GTG	TAA/TTA	GCA/TGC	CTA/TAG	GCC/GGC	ATG/CAT	CAG/CTG	ATA/TAT	TCA/TGA
TFAP2C	0.0303045017422892	0.0321666431586728	0.0339131714904299	0.0331208364837899	0.0287930533492725	0.0309457689850173	0.0279452240620118	0.0296316335897632	0.0323269599693548	0.0336333878256339	0.0277679506655845	0.0343054852242624	0.0310482792533861	0.027966805171142	0.0381322783253984	0.0335563124358829	0.0280908965486411	0.0335925378690659	0.0284423603259056	0.0295106252278541	0.0317743294248403	0.0258402951679126	0.0278373185163604	0.0349290251273478	0.0318082425963307	0.0330653422031692	0.031193180986118	0.0355710631239734	0.0324256164682361	0.0293780555574824	0.031792056764483	0.0291907623603876
ELF1	0.0303880317905563	0.0329593267882188	0.0335558027437894	0.0351920813786655	0.0309280843449243	0.0316777095323306	0.0292797149812191	0.0310610823620448	0.0291991101223582	0.0323991230191356	0.0339185246086634	0.0339950992245813	0.0314681368992923	0.0294006222695104	0.0320605826119198	0.0356757105318309	0.0282237913301414	0.0337532846479986	0.0351074462768616	0.0273532588544437	0.0328142380422692	0.0266842385258983	0.0271356257355193	0.0344585771630314	0.0306943302542277	0.0310167496896713	0.0287799648562815	0.0278771904370395	0.031443955441634	0.0305129693217907	0.030718511711886	0.030267124502265
ELF2	0.0309426553940661	0.0339507931984421	0.033260504733859	0.0354390297963966	0.0299610525315854	0.0341154491624711	0.0301067097305342	0.0305626800924607	0.0294290871093379	0.0306956714480225	0.0347677400968937	0.0334821569931288	0.0315126183464741	0.0286184731325797	0.0330008549444286	0.0356036857604256	0.0278585225293689	0.0322725689496849	0.0365472910927456	0.027605205661632	0.0317469364491308	0.026078971533517	0.0257876571356195	0.0348817326873753	0.0317849339792913	0.0310249833760806	0.0288147937050758	0.0275418764446978	0.0328741965105601	0.0292834299103892	0.0309616541591463	0.0294860834045787
ESX1	0.0749839734545418	0.0344060627372327	0.0305481150901321	0.0344842057128304	0.0315104313636962	0.0203359858532272	0.0348590025772711	0.0279867620010969	0.0228987860344032	0.0251953212616907	0.0231042731183823	0.0298708759682855	0.0276857668358317	0.0243762671100557	0.0227178995168159	0.0306074458679007	0.0234703874299788	0.0414794491209639	0.0216007443841972	0.0254543507548756	0.0323454035288789	0.0230680958148648	0.0212360771647413	0.0283716885105225	0.073153401896559	0.0273210996163759	0.0341962343768315	0.0240680364840871	0.0325349725993103	0.0220768376984868	0.0385722410103018	0.0354798051056305
FEV	0.0303362136853665	0.0310245679314071	0.0339295491532296	0.0344252905139101	0.02990930774929	0.0331931995652632	0.0298309995598322	0.0290775989951291	0.0301795973064509	0.0309115262708188	0.0286829004595554	0.0350789112888202	0.0322244514795511	0.0300956054580808	0.0348351454732499	0.0355790732730992	0.0284107163494238	0.033226038483423	0.0319592140636456	0.0285919619169592	0.0324524293536985	0.0261921948206711	0.0276794189027128	0.0356548553919293	0.0325149496017334	0.0312462306289853	0.0298796264194149	0.030394313309803	0.0326052566266727	0.0293965154118727	0.0305755588773384	0.0299067816786623
NKX2-3	0.0302273117172757	0.0314762394921942	0.0326857093841139	0.0329439011837365	0.0380871504546234	0.0256330416881112	0.027695144964831	0.0385100360267627	0.0268956939440727	0.0310567850403157	0.0284165379996569	0.0335443472293704	0.0287991079087322	0.0285692228512609	0.0328581231772174	0.0350523245839767	0.0272362326299537	0.0361700120089209	0.0272070681077372	0.0280837193343627	0.0367164179104478	0.0284731514839595	0.0309109624292331	0.0368931206038772	0.0372679704923658	0.0296809058157488	0.0300849202264539	0.0279095899811288	0.0309650025733402	0.0267361468519472	0.0302787785211872	0.0329353233830846
SRF	0.0298729292428126	0.0300184679842333	0.0345257587033821	0.0339888089528377	0.0303569558146586	0.0292411587971003	0.029309517902919	0.0292951845420216	0.0306778025855178	0.0308894953003115	0.027668899363268	0.0353284269136415	0.0327230629289672	0.0306557512610601	0.0333901154938119	0.0365335317952535	0.029451748945671	0.0341530913200474	0.0287935169106094	0.0289081837977894	0.03278149893878	0.026663358967998	0.0281044130213071	0.0367452245100471	0.0307604950522341	0.032886242729954	0.0295939799884231	0.0307737258469087	0.035332837178533	0.0294914413296949	0.0297472366934039	0.0313371371868023
POU3F4	0.0500826509822012	0.0379425671779495	0.0298831353553992	0.0333736977665014	0.0289720524353208	0.023728520355207	0.0291469649790489	0.0273728520355207	0.0262772459923884	0.0261426978818283	0.0310710029600584	0.0295006342982355	0.0288067504709184	0.0255775958174759	0.0276419482566409	0.0361492330757698	0.025925498789067	0.0331315111674932	0.0250893783877292	0.0263483642793988	0.032929689001653	0.0252162380348287	0.0240841117902587	0.0312958905162803	0.0476338753700073	0.0328143620497444	0.0300349825087456	0.0244973667012648	0.0436204974435859	0.0254257486641295	0.0460039211163649	0.0342790143389844
MLX	0.0304342527212206	0.0321747674870318	0.0339838364449319	0.0338505366269814	0.0313978199766916	0.0290517431807622	0.0288803577005401	0.0302171644462726	0.0298782020520555	0.0314854169999162	0.0278901304814789	0.0353282603231188	0.0306703838273044	0.0291774258662584	0.0357967139690592	0.0368326439828462	0.0281262615875627	0.0339762193124776	0.0280234302994295	0.0292459800583472	0.0322318959804392	0.0280805587928368	0.0279777275047036	0.0357129255120617	0.0319234021160394	0.031287371556104	0.0311312203407905	0.0301143331581393	0.0333478058849965	0.0306246810325785	0.0307160866220303	0.0304304441549934
PAX2	0.0326690698043483	0.0261511256206216	0.0358203541227414	0.0369916948166285	0.0362699978084593	0.0246170471634663	0.031116098755356	0.0261095619185805	0.0321362987145481	0.0252782878777574	0.0270164063267512	0.0390963295472579	0.0303792876737174	0.0270881981757313	0.0300883417594293	0.0333680957023132	0.0259659782206201	0.0372410770288754	0.0210614613797638	0.0296500336288135	0.026804809298178	0.0202868651144513	0.0281612973920666	0.0480740891881475	0.0313465883757661	0.0444920537758734	0.0242732019920349	0.0254218715757177	0.0409742531758447	0.0329297875716974	0.0233588005471295	0.0457616359473123
NFATC2	0.0381833191892251	0.0386105289896488	0.0404925613536778	0.0375829162264674	0.0307475594196874	0.0323293903023375	0.0279302839790552	0.0296910811294503	0.0261117557745487	0.028709653209558	0.0427094338315523	0.0310073491631884	0.0299335515567179	0.02616948682866	0.0311978616417557	0.0348984222102911	0.0274915279678092	0.032260113037404	0.0433387023213657	0.0249917733247891	0.0286057373121576	0.0250841430113672	0.0250956892221895	0.0342864730367112	0.0311805423255223	0.026302268253116	0.0278263680816548	0.0261463944070155	0.0350196574239249	0.026827620845529	0.0325603145187828	0.0266775201048396
POU2F3	0.0585079033354895	0.0373383534303075	0.0259284138594483	0.0299146362364753	0.0275096338314729	0.0207562765034029	0.027187584658849	0.024461915266513	0.0254792036401232	0.0215842054922515	0.0370591520016807	0.0250244646796371	0.0284218761230255	0.0217459211712085	0.0203333278045922	0.0360653607780045	0.0241688919849839	0.0308531400485423	0.0219615420764846	0.0232663249904629	0.0364855451062348	0.023577316680765	0.0187258463120532	0.0287107528486839	0.0456936635097555	0.0421677088343755	0.0285877383578533	0.0205682993039315	0.0554822997351733	0.0244121565960646	0.0729158028008603	0.0351047420012937
HSF1	0.0313061348905244	0.0336980283972652	0.0340833641665852	0.0352847426845314	0.0301609911117161	0.028656711839777	0.0295762776309071	0.0313444767581184	0.0281320672848654	0.0300389361665417	0.0360835315927404	0.0336028127594067	0.0309776728914689	0.0283812894242266	0.0325311575601536	0.0349064362576037	0.031787964359956	0.032977840317624	0.030593615184402	0.0272783216997717	0.031940053768079	0.0320454939039626	0.0277818782275066	0.034033519738713	0.0315579131543918	0.0294356907830624	0.031764320208273	0.0275237096523735	0.0324480835136999	0.0292586791610033	0.0309783119225954	0.0298299729881543
CREB5	0.0244897340248082	0.0298729263336669	0.0418069329451369	0.0287962878718952	0.0298274345676766	0.0375458708640403	0.0215176053134383	0.028599156885937	0.0280380917720559	0.0296151396597216	0.0235040790950171	0.0466897158281018	0.0311921875473873	0.0310405483274194	0.10740605950323	0.0263700603524095	0.0237618657689625	0.0272192399842295	0.0321778424771783	0.0275680101901556	0.0349073484365996	0.0176356412822612	0.0211991629515058	0.0394565250356352	0.0309192369514451	0.0267946501683195	0.028523337275953	0.0270979286082552	0.027962272162072	0.0246717010887696	0.0201073605677372	0.0236860461589786
CREB3L1	0.0311649995612881	0.0335044309906116	0.0337446257787137	0.0350596648240765	0.031035579538475	0.0284910502763885	0.0292204088795297	0.0295911204702992	0.0297742827059753	0.0298740896727209	0.0285458892691059	0.0345068877774853	0.032723523734316	0.0299245415460209	0.0325842326928139	0.0368485127665175	0.029016407826621	0.0343884355532158	0.0281949197157147	0.0286116960603668	0.0329154602088269	0.0275379485829604	0.0278154338861104	0.0364536720189524	0.0325239098008248	0.0311759673598315	0.0303786084057208	0.0289538913749232	0.0336316574537159	0.0294167324734579	0.0315104852154076	0.030880933579012
TFEB	0.0237487366444337	0.0259715119515915	0.0393086855727795	0.0331475281016716	0.0259569021608402	0.0302052206000137	0.0290802667121657	0.0256850556972183	0.0327269748393314	0.0281989832629194	0.0253615531877259	0.0353478669444614	0.0335132946486945	0.0305375933396051	0.0345490244573115	0.0416436432017774	0.0268809714258582	0.0309205785685849	0.0277528628667644	0.0370598213535658	0.0301692179013766	0.0277836477829903	0.0258457633954823	0.0422541237438841	0.0261755272438682	0.0400240435413507	0.0258942887719062	0.033930717241588	0.0351975948110198	0.0415413746665185	0.0251184045273654	0.0284682208353357
TCF12	0.0235958688409107	0.0252527471853677	0.0387642766945958	0.0327168751219921	0.0266534634173593	0.0326596474160158	0.0281379773616733	0.0264531664464422	0.0338859554012224	0.0302479083784427	0.0252677353940758	0.0372460392806886	0.0347818415126373	0.031404044295607	0.0362854313589434	0.039721137564164	0.0278801120436729	0.0320267362392064	0.0285872829818087	0.0319187530082868	0.0303684953303214	0.026050528657966	0.0269419864349898	0.0435203078305556	0.025303502710311	0.0380874228149832	0.0259105251629883	0.0352182027707066	0.0351190762085691	0.0355717882397745	0.0251958601204984	0.0292253037752232
ETV4	0.0251517845691666	0.027064353469108	0.0337762783488795	0.0330545815789073	0.0273175994742338	0.0427489400984435	0.0314543131888636	0.0281048721053329	0.0325756241843776	0.0326803281836356	0.02925516690687	0.0372253512656141	0.0325314238801925	0.03105252517787	0.0355529856580882	0.0361413569203547	0.0275820767041935	0.0303243070515426	0.0390846624219883	0.028869319989189	0.0312242542285561	0.0243721201871484	0.0273016583809211	0.037637645906291	0.0265419203655438	0.0333737657427354	0.0268592930414954	0.0323959245870351	0.03260388339525	0.0309952821609746	0.0272556465888596	0.0278907542383382
XBP1	0.026139892490827	0.0285983895879606	0.0372454149845176	0.0348714890005623	0.0270345658460301	0.0266131939838781	0.0298461844332771	0.0261814361955462	0.0296948466518	0.0269203206580523	0.0258283147054329	0.0332260615529334	0.0398389291219886	0.0313803341004082	0.0311874526142118	0.0425333351137778	0.0259484947083706	0.0317022978119821	0.0263995406453221	0.033086593401376	0.031496062992126	0.0277630643823564	0.0246220635648356	0.0444962751617608	0.0296978140592799	0.0377409720336682	0.0266131939838781	0.0304990140788648	0.0359219512484625	0.0374709379529933	0.0277600969748764	0.0316414659586432
CREB3L4	0.0289039704197233	0.029537749111056	0.0340704776080613	0.0349174847314267	0.0308318862151658	0.028714959067229	0.0295176666548535	0.0293782707823889	0.0310498399310109	0.030643465523148	0.0279305619543774	0.0347001216760582	0.0344154233263635	0.0307993998889558	0.0320232483963568	0.0372021594547022	0.029985469752277	0.034283706040094	0.0283605627813021	0.028794107571086	0.0332589101132887	0.0267504223222407	0.0280043945139455	0.0376835477430863	0.0309110347190228	0.0323758727008541	0.0299234504022398	0.0295731887396487	0.0341927443267061	0.029846664540289	0.0298035463255012	0.0316156926675408
JUND	0.0269872281470236	0.0300927366221857	0.037524663627527	0.0342006910655102	0.0271973961293141	0.0286353875870918	0.0296101798733738	0.0273439606432799	0.0303167314454165	0.0289603183491858	0.0269678705697073	0.0348740582192965	0.0321598493427411	0.0299420240559379	0.0332770580907068	0.0403024759724072	0.0269512783605791	0.0322552545452283	0.0279910567992799	0.0336628269529376	0.0308933107126216	0.0287999269942798	0.0262945034159211	0.0392875858473987	0.0293101374249721	0.0367503605348775	0.02718218660428	0.031664848437083	0.0347758876486213	0.0380417874786894	0.0285109460186303	0.0292354724838952
POU1F1	0.0454939445329496	0.0384055364270175	0.0298096853212738	0.0345855388252223	0.0314438905733422	0.0243212223992326	0.0307312811552495	0.0304229405416517	0.0266577590489405	0.0282097401373829	0.0283707624578173	0.0304983126916423	0.029569864844031	0.026164414067184	0.0285728968600648	0.0350411977319835	0.026123301985371	0.0330506877708687	0.0258971855353992	0.0286037309214245	0.0338832074275828	0.0272573102420474	0.0266714630762115	0.0315775048392346	0.0484882744916662	0.0295116227281292	0.0330952258594995	0.0252668002809326	0.0368021652363088	0.0256847731126985	0.0374633845521353	0.0323243743255049
ELF5	0.0309017528539544	0.0350431350402591	0.0326709039141814	0.0358362027569125	0.0297653129610795	0.0312189799406158	0.0291970930146421	0.0321959347871746	0.0283534781248393	0.0331990347232934	0.0339903594339762	0.0336007975995322	0.0318848082214106	0.0291387023146248	0.032826902948556	0.0359660567017272	0.0275961420305845	0.0333663632964775	0.0355834668911658	0.0274227129365032	0.0320957119438613	0.0269276992408337	0.0269747604020418	0.0338639915011029	0.032466100712628	0.0294733594609928	0.0295709677953502	0.0271002568319298	0.0317601832945079	0.028778771581682	0.0314865313571132	0.0297435253864462
SPIB	0.0336996407246877	0.0457085139299094	0.03093795149144	0.0354193036963165	0.0302379399844016	0.0264246352908084	0.029160753327452	0.0300653344073236	0.026699525654303	0.0289785585516474	0.0320822625394755	0.0295986600692979	0.031462161021825	0.0270767008042141	0.0321334049326838	0.0360745656092977	0.0294867860841548	0.0384846508892384	0.0280995486683799	0.0271534143940266	0.0328398092388733	0.0274506795545498	0.0266036336670374	0.0318233541738586	0.0358412284402849	0.0323092069093373	0.0299790316187846	0.0279173538925754	0.0328238272409957	0.0273867515630394	0.0352882513137202	0.03075256031606
ETV5	0.0285263593731717	0.0310038794228571	0.0330065977191514	0.0343049892438276	0.0290169128434999	0.0372010549149857	0.0307203485179885	0.0295727234268535	0.0307766046499068	0.0314966831384621	0.0305808333108309	0.0349350579213134	0.0323360246266843	0.0304930737450382	0.0340057066220218	0.035643885183485	0.0280920620347618	0.031964734156023	0.0357788999000891	0.0283575909774165	0.0324485368905211	0.026840925660897	0.0277792779412956	0.0346627782428285	0.0297662445206528	0.0303310560851133	0.0287266312028011	0.0304503190847802	0.0315844427042548	0.0299147607089173	0.0309408725551085	0.0287401326744615
TFAP4	0.0232748051346979	0.0245420136934179	0.0384371761979886	0.0337851820040809	0.0267478540525827	0.0314803235924788	0.031199587016842	0.0245928207090879	0.0319457455243469	0.0296312449053914	0.0251505853190718	0.0368425034433806	0.033227788248226	0.0325583965454196	0.0345914188804804	0.0417922935028582	0.0280584525443931	0.0308928906521767	0.0278630124184214	0.0292759666498299	0.0306054787022182	0.0254969630755378	0.0264437536668202	0.0411766756487537	0.0256308414160991	0.0339709799226992	0.0258006926071713	0.034042554769592	0.0424572349561168	0.0343833697141234	0.0298860216919997	0.0342153727936961
