TF	AAT/ATT	AAA/TTT	CCA/TGG	AAC/GTT	ACT/AGT	CCG/CGG	ATC/GAT	AAG/CTT	CGC/GCG	AGG/CCT	GAA/TTC	ACC/GGT	ACG/CGT	GAC/GTC	CCC/GGG	ACA/TGT	CGA/TCG	CAA/TTG	GGA/TCC	AGC/GCT	GTA/TAC	AGA/TCT	CTC/GAG	CAC/GTG	TAA/TTA	GCA/TGC	CTA/TAG	GCC/GGC	ATG/CAT	CAG/CTG	ATA/TAT	TCA/TGA
HES5	0.0313939550987694	0.0358092558658942	0.0321797574837721	0.0360078097875866	0.0298750736865013	0.0283141257654001	0.0272686327992008	0.0305425289599869	0.0313580583445651	0.0310933197823086	0.0285878385162077	0.0333413540143509	0.0340721894944783	0.0285154841210147	0.032671094306943	0.0352466864210992	0.0276197479262613	0.0333166749958354	0.0277863313012405	0.0307528615041525	0.0334653099937125	0.027935527185902	0.0277566043016651	0.0344014300369456	0.0356140672649085	0.0319509156757199	0.0321707832952211	0.0298565644226147	0.0315094977763643	0.029359057844815	0.0315403465495086	0.0286871154770538
PITX1	0.0328535363419312	0.0366012368390152	0.0323968974650019	0.0352753532427884	0.0296538024971623	0.0282316985661539	0.030178937205631	0.0320593108667006	0.030492061006954	0.0302294936527196	0.028632888436599	0.0325925998408287	0.0322811068926377	0.0279169439116991	0.0329676960611635	0.034417524495414	0.0277571203047738	0.0340946155752997	0.0281371090845043	0.0310807989875664	0.0322077185017026	0.0287535715683588	0.0272205696243819	0.0334879382102365	0.0375047294740825	0.0309323913525644	0.031680952940102	0.029554320456117	0.030744843242397	0.0290291857476483	0.031726616827795	0.0293064307800697
TFAP2B	0.0315334228008129	0.0377124316007381	0.0326238613717717	0.0355427164284445	0.0294349725115033	0.028736490796956	0.0267664031583222	0.0318987626527365	0.0304957889323061	0.0332227439727511	0.0289468509937158	0.0329282396972874	0.0313887465022251	0.0268728711762741	0.0363360748847956	0.0339079171850543	0.0268608505936021	0.0339980715550942	0.027911792964353	0.0304532875864301	0.0324366837273079	0.0275855200061133	0.0275297101579934	0.0327200260331476	0.035933385365284	0.0314145048936651	0.0325508792626918	0.0327728307355996	0.030590236367586	0.0290052366809797	0.0318596957590526	0.0280289936454048
DMBX1	0.034751129154747	0.0401094038177136	0.0313685184233517	0.0356327549091823	0.0293997065054159	0.0273932085124849	0.0304857506666438	0.0323517823800469	0.0298976194962628	0.0302310841598575	0.0288287053691237	0.0319989036778183	0.031730533143761	0.0270426138148015	0.0311846560574656	0.0342577841729905	0.0275131187511063	0.0341984000548161	0.0277141111510812	0.0304583426121018	0.032217026111882	0.0290000057100114	0.0270106377511691	0.0323529243823195	0.0398798613609241	0.0304058105075629	0.0319018334846486	0.0286608310350538	0.0308352033620547	0.0282474262123782	0.0336388189412497	0.0293014943099737
PKNOX2	0.031211627111138	0.036527635189994	0.0319262435332246	0.0355798458038932	0.030154800008052	0.0276335124906899	0.0276989351208809	0.0303661654286692	0.0289906126913193	0.0296012239064356	0.0283279988727178	0.0320973488737243	0.0353886104233347	0.0340734478061611	0.0303393253752575	0.0390489227073562	0.0281434735055123	0.0352493776462615	0.0275177647603519	0.0288949950010401	0.0313105998080936	0.0285796243734525	0.0265515228375304	0.0355748132938785	0.0335534217713093	0.0302839677650959	0.0302017701015225	0.0287624722373198	0.033311861290604	0.0302973877918017	0.0301900275781549	0.0326106648952231
HMBOX1	0.0312094646945651	0.0372874027515402	0.0331043768698837	0.0382522699771044	0.0322671913222889	0.0273819162118007	0.0281059293630135	0.0302663613913821	0.0296627752773449	0.0302634595350646	0.028013069960854	0.03519806620295	0.0333176633092189	0.028911194491116	0.0313444010133282	0.0347889044621845	0.0276111628608821	0.033983639334082	0.0267231948277313	0.0290664438041015	0.0334961274727443	0.0273804652836419	0.0271584732753542	0.03494415377517	0.0376022541619874	0.0299500590527761	0.0329912044735017	0.0283903112821272	0.0308177140917045	0.0288154332326389	0.0313792232891381	0.0303156929487793
IRX5	0.0337448223946958	0.0385469701970178	0.0313443665305749	0.0380834424168709	0.0306534011196359	0.0262010622820647	0.0284840911085483	0.0308042021574437	0.0290736984448952	0.0291602236305226	0.0291540432601207	0.0321762443866786	0.033130493576741	0.0284161070341268	0.0289995340000717	0.0398028214626959	0.0280378683655269	0.0364629492974773	0.0267585316923214	0.0288722183697913	0.034581644547121	0.0274457888810192	0.0259501392437452	0.0341762122487525	0.0366335275205714	0.0307980217870417	0.0312924514191985	0.0270935077681076	0.0332553370588606	0.028476674664066	0.0327213530561314	0.0296682500775637
MYOG	0.0297746390313849	0.0335472690605998	0.0328545978289485	0.0353160088845948	0.0298794343099742	0.0287215742806827	0.0268889348965722	0.0302807235474991	0.03277791835681	0.0310066225504104	0.0279087718760144	0.0330539644565087	0.0341785967145402	0.0282870572718977	0.0332073234007857	0.0362259386206385	0.0270218459816123	0.0332993387673519	0.0277324090900958	0.0307050166266655	0.0339843420517893	0.02820526583495	0.0277119612308589	0.0356585105268135	0.034173484749731	0.0329363892658963	0.0321082509668003	0.0310986379169766	0.0317171856588939	0.0298819902923788	0.03167628994042	0.0281797060109038
CUX1	0.0416400872156876	0.0406562089246603	0.0306005798004594	0.0370870184908767	0.0298595131276172	0.0247366090445222	0.0333655444699654	0.030398470707866	0.0266215570400281	0.0278131585651097	0.0303472416670351	0.0307472492461261	0.0309212876314148	0.0260180368329786	0.0274685906329453	0.0355143571141348	0.0283121153874494	0.0367810477812562	0.0260650552677138	0.0278405275047317	0.0332939641663386	0.0284868555404208	0.0246053784878731	0.030546543688898	0.0420148311582044	0.0288251075634416	0.0324272810783082	0.0257373297599323	0.0326230742617579	0.0269099835575832	0.0401642697791467	0.0315711245055169
NFKB2	0.0317024929093895	0.0350572047000618	0.0344561021900923	0.0356676369607404	0.0298765274134732	0.028786279402043	0.0283597765124859	0.0298871899857122	0.0300857803936622	0.0316385174759559	0.0285143838099503	0.035860896082571	0.0320117075043183	0.0285943531017423	0.0343748000767705	0.0353544239012219	0.0276120636342311	0.0348919348303585	0.0286676582858849	0.0286756552150641	0.0327567547395134	0.027404143475572	0.0279306079798691	0.0359115433007059	0.0338443371078839	0.0310094257138592	0.0312320069093468	0.029272759260444	0.0313732859915126	0.0289902010961124	0.0302630456571343	0.0299365043823172
